PCM,Maths,Physics,Chemistry,Rank
97.1234692,94.6843565,97.407953,98.5276052,6233
97.1198482,97.667345,88.3120855,96.8587041,6243
97.115503,97.7578703,95.6373581,92.8172008,6253
97.1126062,96.8678259,98.243423,91.3269649,6263
97.1068126,97.0506869,99.2728505,74.1284656,6273
97.1024674,98.2398268,94.8671353,89.1998043,6283
97.09776,97.1430227,89.3139869,98.0252527,6293
97.0923285,96.3395204,98.243423,93.7347395,6303
97.0865349,98.6174982,97.3075335,53.1593918,6313
97.0821897,95.7083783,98.7822222,93.7347395,6323
97.0771203,96.4753083,94.8671353,97.7596762,6333
97.0720509,97.3961313,94.7139573,95.197959,6343
97.0673436,98.4121869,76.4717576,94.7644219,6353
97.0626362,98.3864777,95.1711974,84.9877916,6363
97.0572047,95.7083783,96.5714635,97.8427644,6373
97.0521353,98.2467067,60.8323096,96.8587041,6383
94.9982981,99.1678918,84.9717347,3.7399899,10705
94.9946771,92.6142248,90.0169235,97.7066629,10715
94.9892456,95.9455545,95.3804472,82.1421471,10725
94.9849004,95.6040932,94.5735229,87.8642756,10735
94.9801931,94.306323,76.6397182,97.7596762,10745
94.9743995,94.0763888,97.0085688,88.7244682,10755
94.9711405,94.8766322,95.5269986,89.9277183,10765
94.9664332,96.4753083,82.3228513,91.0229028,10775
94.9617259,96.7534019,64.1311163,93.0430173,10785
94.9573807,91.0948488,93.6391626,97.7066629,10795
94.9530355,91.3704077,98.1422389,91.5046106,10805
94.9486903,89.4038368,98.7172298,91.5046106,10815
94.9447072,93.2953369,97.0085688,91.6733358,10825
94.9396378,97.3599212,95.3047503,35.6756908,10835
94.9356546,95.4237669,93.6391626,90.1683174,10845
94.9305852,95.7083783,83.9779893,93.7347395,10855
94.9258779,93.7345654,94.7799691,94.3056525,10865
94.9197222,94.8766322,79.9703839,96.3940727,10875
94.9128423,95.4237669,94.7799691,88.1329106,10885
94.9084971,95.7083783,63.906829,96.2250926,10895
94.9037897,97.7397652,94.1404956,29.2146888,10905
94.8979961,93.2297966,94.7139573,95.197959,10915
94.8947372,95.8905151,91.9980426,89.1998043,10925
94.8893057,91.3704077,91.5532912,97.9944132,10935
94.8842363,97.5612494,93.7286226,40.6620042,10945
94.879529,96.6458579,46.8240416,95.132202,10955
94.8737354,97.3363846,94.1404956,45.1806277,10965
94.8701144,95.1811592,92.9081901,91.8632154,10975
94.8639586,83.3216254,98.0244881,96.8780744,10985
94.8596134,97.7397652,54.6407071,84.9877916,10995
94.8556303,93.6259351,96.4167563,92.1007559,11005
94.8505609,97.1234692,96.7636369,25.5348486,11015
94.8454915,91.2375166,95.7133099,96.1007152,11025
94.8393358,95.1290166,42.9482049,98.1516692,11035
94.8346284,95.1290166,94.8671353,89.1998043,11045
94.8302832,94.4348689,72.6359359,97.4566336,11055
94.8255759,92.8966636,89.3139869,97.219093,11065
94.8205065,97.0506869,89.7844803,74.1284656,11075
94.8157992,96.8678259,90.7267417,76.7222967,11085
94.8110919,94.0409029,95.6373581,91.782421,11095
94.8067467,96.3395204,95.9572223,61.9180638,11105
94.8027636,95.2897895,71.7217105,96.1672367,11115
94.7987804,96.6693945,70.3706347,91.5838758,11125
94.7944352,96.8678259,72.1040183,89.7268793,11135
94.7904521,96.3395204,92.7422685,81.4014895,11145
94.7846585,94.6843565,83.5194748,95.6651391,11155
94.7806754,96.5223815,77.7333734,90.8523935,11165
94.7766923,94.378019,88.7270169,95.5896971,11175
94.7708987,94.306323,95.7133099,91.0229028,11185
94.7665534,95.7083783,95.1711974,81.4014895,11195
94.7611219,95.0207484,97.901385,61.9180638,11205
